"","index","UAG","OUG","CV Sh.","Total Shrinkage"
"1","01/03/2007",5755553,21128246,352100.333333333,27235899.3333333
"2","02/03/2007",-1156252,20122428,119482,19085658
"3","03/03/2007",1788744,19765504,6040.33333333333,21560288.3333333
"4","04/03/2007",-2933444,19934431,-290727,16710260
"5","05/03/2007",-3494736,20175744,-477181.333333333,16203826.6666667
"6","06/03/2007",6210662,18879457,-20690,25069429
"7","07/03/2007",4268954,18795622,168962.333333333,23233538.3333333
"8","08/03/2007",-4459705,17984387,727984.666666667,14252666.6666667
"9","09/03/2007",660792,19764402,557591.666666667,20982785.6666667
"10","10/03/2007",1528419,20383186,540976,22452581
"11","11/03/2007",6844608,17598883,181696.333333333,24625187.3333333
"12","12/03/2007",-4340225,20320921,241574.333333333,16222270.3333333
"13","13/03/2007",-6860707,20123918,248848,13512059
"14","14/03/2007",10888832,19404982,-35975,30257839
"15","15/03/2007",246838,19860191,-143952,19963077
"16","16/03/2007",2733434,19135735,-316085.666666667,21553083.3333333
"17","17/03/2007",-396469,17321078,137235,17061844
"18","18/03/2007",2857826,18011309,214493.333333333,21083628.3333333
"19","19/03/2007",-1847244,19561446,120366.666666667,17834568.6666667
"20","20/03/2007",-7920613,20745040,103678.666666667,12928105.6666667
"21","21/03/2007",-8140775,22133035,-398275,13593985
"22","22/03/2007",-4041105,21804245,-71322,17691818
"23","23/03/2007",1329869,17790616,-96915.3333333333,19023569.6666667
"24","24/03/2007",-2784165,16758537,300535,14274907
"25","25/03/2007",-5959035,17657388,172279.333333333,11870632.3333333
"26","26/03/2007",2095162,16856437,552170.333333333,19503769.3333333
"27","27/03/2007",8797551,14396729,184692,23378972
"28","28/03/2007",-13657819,14602097,175470,1119748
"29","29/03/2007",4750389,14555609,-393933.333333333,18912064.6666667
"30","30/03/2007",13139790,14507126,-292471.666666667,27354444.3333333
"31","31/03/2007",10761719,16434870,81004.6666666667,27277593.6666667
"32","01/04/2007",-4128508,14529804,-273363,10127933
"33","02/04/2007",2528735,13307952,246539,16083226
"34","03/04/2007",15440362,17564139,-1135397,31869104
"35","04/04/2007",19072119,19069033,-5079,38136073
"36","05/04/2007",-8311434,16178453,427065,8294084
"37","06/04/2007",-11644336,14508724,-10426,2853962
"38","07/04/2007",258036,13030459,-245091,13043404
"39","08/04/2007",15623660,15369360,376520,31369540
"40","09/04/2007",-2800687,14338269,-208636,11328946
"41","10/04/2007",-4849717,12851012,-102290,7899005
"42","11/04/2007",-4321698,11466953,-275926,6869329
"43","12/04/2007",-2917081,12217895,-390225,8910589
"44","13/04/2007",-16891530,12030920,-374570,-5235180
"45","14/04/2007",-6660073,11853186,206452,5399565
"46","15/04/2007",3632663,12553237,-156153,16029747
"47","16/04/2007",-1552523,12538104,165689,11151270
"48","17/04/2007",-23057131,14903105,113321,-8040705
"49","18/04/2007",-4833649,13501139,-166802,8500688
"50","19/04/2007",-18343274,13289590,320885,-4732799
"51","20/04/2007",-9526052,13386639,-282289,3578298
"52","21/04/2007",-10001196,12551191,-45177,2504818
"53","22/04/2007",-6789332,14333353,-6485,7537536
"54","23/04/2007",-9307072,13758727,-403738,4047917
"55","24/04/2007",2377600,13499211,-18050,15858761
"56","25/04/2007",2948244,12014892,-45335,14917801
"57","26/04/2007",-3365096,12898718,-22687,9510935
"58","27/04/2007",-724769,12625479,161771,12062481
"59","28/04/2007",2915789,10438004,-64218,13289575
"60","29/04/2007",14330840,10886671,-252489,24965022
"61","30/04/2007",-3765917,10960001,-150928,7043156
"62","01/05/2007",948054,11762927,53037,12764018
"63","02/05/2007",-2440356,10761591,133941,8455176
"64","03/05/2007",11012452,13490701,234809,24737962
"65","04/05/2007",-3855002,11520377,-3571,7661804
"66","05/05/2007",11442239,9610224,251032,21303495
"67","06/05/2007",5754866,11459745,-235713,16978898
"68","07/05/2007",1005300,10787701,-74139,11718862
"69","08/05/2007",8656219,10225219,-175533,18705905
"70","09/05/2007",-1312452,8694089,-417825,6963812
"71","10/05/2007",7395283,8940585,174476,16510344
"72","11/05/2007",113408,9147257,258452,9519117
"73","12/05/2007",7626653,8110624,-211194,15526083
"74","13/05/2007",-6202830,10546159,-172922,4170407
"75","14/05/2007",5855303,10341239,20324,16216866
"76","15/05/2007",614973,11033477,544016,12192466
"77","16/05/2007",6165344,8490341,56746,14712431
"78","17/05/2007",-1605510,8306672,-128810,6572352
"79","18/05/2007",720973,8058705,90057,8869735
"80","19/05/2007",622786,8118838,-102623,8639001
"81","20/05/2007",941941,10079764,-522666,10499039
"82","21/05/2007",11574377,7248407,157074,18979858
"83","22/05/2007",-3359070,5826405,-17376,2449959
"84","23/05/2007",10119459,6845722,112946,17078127
"85","24/05/2007",7454700,4883536,-540493,11797743
"86","25/05/2007",5265894,6272907,384355,11923156
"87","26/05/2007",-22035479,7355874,735969,-13943636
"88","27/05/2007",-2517580,8939608,326106,6748134
"89","28/05/2007",-9790160,9071142,-263799,-982817
"90","29/05/2007",3537720,9926412,-430764,13033368
"91","30/05/2007",14688362,7681994,34686,22405042
"92","31/05/2007",-6550257,6774784,65312,289839
"93","01/06/2007",15282529,6205275,52102,21539906
"94","02/06/2007",2503988,6644718,-98573,9050133
"95","03/06/2007",-2759946,6858916,-88036,4010934
"96","04/06/2007",-3262146,5978758,350322,3066934
"97","05/06/2007",-1401443,5792418,635234,5026209
"98","06/06/2007",4535305,5322176,347034,10204515
"99","07/06/2007",4298697,4875976,-38068,9136605
"100","08/06/2007",812070,3608722,100564,4521356
"101","09/06/2007",-1115681,4819733,-12541,3691511
"102","10/06/2007",7186499,4965278,-172811,11978966
"103","11/06/2007",13918259,2550384,125643,16594286
"104","12/06/2007",13227268,3357717,167398,16752383
"105","13/06/2007",2736192,3559042,921529,7216763
"106","14/06/2007",-8779507,3503539,963734,-4312234
"107","15/06/2007",3081336,3338150,-214599,6204887
"108","16/06/2007",25455305,3684227,-132451,29007081
"109","17/06/2007",-20019395,4973705,-142355,-15188045
"110","18/06/2007",10681986,4788306,333673,15803965
"111","19/06/2007",11006225,4179298,-103825,15081698
"112","20/06/2007",-925322,4146030,-372057,2848651
"113","21/06/2007",17807977,4274661,111485,22194123
"114","22/06/2007",14391375,3838292,-59943,18169724
"115","23/06/2007",15175875,3155629,-107327,18224177
"116","24/06/2007",9176235,4407983,97951,13682169
"117","25/06/2007",16242635,3083646,101235,19427516
"118","26/06/2007",7742865,3645750,-238380,11150235
