index,"Demand Actual, NTS, Energy",Composite Weather Variable - Normal,"Composite Weather Variable, Actual, LDZ(EA), D+1","Composite Weather Variable, Actual, LDZ(EM), D+1","Composite Weather Variable, Actual, LDZ(NE), D+1","Composite Weather Variable, Actual, LDZ(NO), D+1","Composite Weather Variable, Actual, LDZ(WN), D+1","Composite Weather Variable, Actual, LDZ(NW), D+1","Composite Weather Variable, Actual, LDZ(SC), D+1","Composite Weather Variable, Actual, LDZ(SE), D+1","Composite Weather Variable, Actual, LDZ(SO), D+1","Composite Weather Variable, Actual, LDZ(SW), D+1","Composite Weather Variable, Actual, LDZ(WM), D+1","Composite Weather Variable, Actual, LDZ(NT), D+1","Composite Weather Variable, Actual, LDZ(WS), D+1"
03/06/2014,2112930768,14.43,15.4,14.4,14.92,13.11,15.01,15.01,12.99,15.37,15.09,14.45,14.19,15.41,14.28
04/06/2014,2158594748,14.49,14.37,13.63,13.73,12.69,14.36,14.36,12.81,14.26,14.21,13.09,13.15,14.23,12.84
05/06/2014,2087112742,14.53,14.95,13.25,13.32,12.61,13.83,13.83,12.87,14.86,14.64,13.76,13.32,14.85,13.56
06/06/2014,1953969800,14.56,15.61,14.23,14.74,13.11,15.44,15.44,13.74,15.58,15.39,14.72,14.32,15.62,14.98
07/06/2014,2007379155,14.6,15.83,14.42,14.92,12.85,15.48,15.48,13.6,15.81,15.55,14.85,14.36,15.84,15.14
08/06/2014,2041350344,14.64,16.17,14.76,15.2,13.42,15.78,15.78,13.69,16.15,15.81,14.97,14.51,16.16,15.26
09/06/2014,2215245479,14.68,16.34,15.21,15.57,13.58,15.83,15.83,13.75,16.33,15.83,15.11,14.8,16.33,15.33
10/06/2014,2254206018,14.72,16.2,15.12,15.5,13.64,15.77,15.77,13.65,16.18,15.63,14.85,14.61,16.19,15.05
11/06/2014,1962428658,14.76,16.11,15.08,15.46,13.76,15.79,15.79,14.04,16.09,15.65,14.86,14.6,16.1,15.07
12/06/2014,1904866616,14.8,16.38,15.28,15.63,13.93,15.91,15.91,14.24,16.36,15.92,15.11,14.88,16.36,15.27
13/06/2014,1902860556,14.84,16.58,15.41,15.83,13.96,16.07,16.07,14.41,16.54,16.05,15.38,15.24,16.6,15.44
14/06/2014,1862422271,14.88,16.38,15.3,15.63,13.89,16.18,16.18,14.89,16.36,16.05,15.53,15.2,16.37,15.85
15/06/2014,1853505578,14.92,15.95,14.85,15.25,13.39,15.93,15.93,14.53,15.92,15.85,15.4,14.86,15.95,15.84
16/06/2014,1925156100,14.96,15.66,14.46,14.93,13.35,15.89,15.89,14.98,15.62,15.57,15.2,14.67,15.67,15.63
17/06/2014,2029961764,15,15.73,14.61,15.05,13.71,16.09,16.09,14.99,15.69,15.65,15.21,14.77,15.74,15.61
18/06/2014,1933857956,15.03,15.92,15.05,15.41,14.24,16.43,16.43,14.99,15.88,15.86,15.42,15.01,15.92,15.77
19/06/2014,1945294773,15.07,15.86,14.95,15.32,13.81,16.29,16.29,14.99,15.81,16.05,15.49,14.9,15.86,15.88
20/06/2014,1888036845,15.11,15.99,15.14,15.48,13.7,16.16,16.16,14.92,15.95,16,15.49,15.03,15.98,15.86
21/06/2014,1993768692,15.13,16.24,15.21,15.53,13.7,16.06,16.06,14.62,16.2,16.05,15.44,14.96,16.23,15.69
22/06/2014,1996151145,15.16,16.46,15.41,15.75,13.82,16.11,16.11,14.67,16.43,16.05,15.55,15.24,16.44,15.86
23/06/2014,1987071972,15.18,16.57,15.41,15.94,13.81,16.27,16.27,14.71,16.54,16.05,15.55,15.35,16.55,16.16
24/06/2014,1942294753,15.2,16.51,15.21,15.53,13.3,16.03,16.03,14.31,16.47,16.05,15.55,15.07,16.49,16.17
25/06/2014,1940315998,15.22,16.24,14.94,15.3,13.27,16.05,16.05,13.88,16.2,16.04,15.48,14.93,16.23,15.94
26/06/2014,2191147920,15.25,16.11,14.77,15.15,13.17,15.96,15.96,13.91,16.06,15.78,15.2,14.87,16.1,15.55
27/06/2014,2228990537,15.27,16.16,14.17,14.44,12.89,15.52,15.52,13.49,16.12,15.78,15,14.6,16.15,15.4
28/06/2014,1975991427,15.29,15.8,13.86,13.82,12.76,14.75,14.75,13.33,15.75,15.55,14.86,14.24,15.81,15.29
29/06/2014,1939583419,15.32,15.64,13.89,13.87,12.62,15.17,15.17,13.66,15.59,15.58,14.91,14.28,15.65,15.18
30/06/2014,2050325437,15.35,15.68,14.25,14.58,12.89,15.59,15.59,14.12,15.63,15.61,15.02,14.49,15.7,15.35
01/07/2014,1971531894,15.37,15.99,14.59,14.98,13.29,15.89,15.89,14.66,15.94,15.76,15.26,14.74,15.99,15.66
02/07/2014,1832523958,15.4,16.3,15.21,15.5,13.81,16.26,16.26,14.33,16.26,15.86,15.46,15.09,16.29,15.87
03/07/2014,1849403714,15.43,16.58,15.41,15.74,13.96,16.27,16.27,14.38,16.54,16.03,15.54,15.22,16.6,15.88
04/07/2014,1847917021,15.45,16.58,15.41,15.78,13.95,16.17,16.17,13.9,16.54,15.99,15.52,15.23,16.6,15.84
05/07/2014,1947206052,15.48,16.51,15.35,15.61,13.43,15.99,15.99,13.87,16.47,15.91,15.34,15.02,16.5,15.63
06/07/2014,2013301883,15.5,16.22,15.11,15.41,13.14,15.83,15.83,13.98,16.18,15.66,15.17,14.73,16.22,15.47
07/07/2014,2088569353,15.52,16.04,15,15.31,13.44,15.79,15.79,14.08,16,15.67,15.03,14.65,16.05,15.26
08/07/2014,2130206174,15.54,15.92,14.87,15.2,13.27,15.78,15.78,14.18,15.88,15.54,14.98,14.5,15.94,15.16
09/07/2014,2076400669,15.56,16.13,15.22,15.49,13.67,15.98,15.98,14.69,16.08,15.76,15.18,14.72,16.13,15.33
10/07/2014,2043387610,15.58,16.13,15.39,15.63,13.7,16.16,16.16,14.99,16.09,16.05,15.55,15.09,16.13,15.64
11/07/2014,2103727340,15.59,16.11,15.41,15.83,14.15,16.33,16.33,14.99,16.07,16.05,15.55,15.24,16.12,15.83
