Name
"Demand Actual, NTS, Energy"
"Closing Linepack, actual"
"Composite Weather Variable, Actual, LDZ(EA), D+1"
"Composite Weather Variable, Actual, LDZ(EM), D+1"
"Composite Weather Variable, Actual, LDZ(NE), D+1"
"Composite Weather Variable, Actual, LDZ(NO), D+1"
"Composite Weather Variable, Actual, LDZ(NT), D+1"
"Composite Weather Variable, Actual, LDZ(NW), D+1"
"Composite Weather Variable, Actual, LDZ(SC), D+1"
"Composite Weather Variable, Actual, LDZ(SE), D+1"
"Composite Weather Variable, Actual, LDZ(SO), D+1"
"Composite Weather Variable, Actual, LDZ(SW), D+1"
"Composite Weather Variable, Actual, LDZ(WM), D+1"
"Composite Weather Variable, Actual, LDZ(WN), D+1"
"Composite Weather Variable, Actual, LDZ(WS), D+1"
Composite Weather Variable - Normal
