,Name,Type,Vname,Stype,Decom,LDZ,Mtype,Streams,Owner,Aname,Atype,Alttype,lat,lon
1,Bacton BBL,Demand,"NTS Energy Offtaken, BactonBBL, Interconnector",Interconnector,N,N/A,Ultrasonic,3,BBL Company,N/A,A,N/A,52.8608,1.4575
2,Bacton Interconnector (IUK),Demand,"NTS Energy Offtaken, Bacton, Interconnector",Interconnector,N,N/A,Orifice Plate,6,Interconector UK,N/A,A,N/A,52.8608,1.4575
3,Baglan Bay Power Station,Demand,"NTS Energy Offtaken, BaglanBay, NTS Power Station",NTS Power Station,N,N/A,Turbine,2,Calon Energy,N/A,A,N/A,51.685008,-3.835795
4,BASF Industrial (Ineos Nitriles),Demand,"NTS Energy Offtaken, BASF, Industrial Offtake",Industrial Offtake,N,N/A,Orifice Plate,3,Ineos Nitriles (UK) Ltd,N/A,A,N/A,54.608629,-1.176212
5,Blackbridge Power Station,Demand,"NTS Energy Offtaken, BlackBridge, NTS Power Station",NTS Power Station,N,N/A,Ultrasonic,4,RWE,N/A,A,N/A,51.684368,-4.996706
6,Blackburn Mill Industrial,Demand,"NTS Energy Offtaken, BlackburnM, Industrial Offtake",Industrial Offtake,N,N/A,Ultrasonic,2,Scottish Power,N/A,A,N/A,53.717978,-2.600974
7,BOC Teesside Industrial (Teesside Hydrogen),Demand,"NTS Energy Offtaken, BOCTees, Industrial Offtake",Industrial Offtake,N,N/A,Orifice Plate,2,BOC,N/A,A,N/A,54.610392,-1.197015
8,BP (Ineous) Grangemouth Power Station,Demand,"NTS Energy Offtaken, BPGrngmouth, Industrial Offtake",Industrial Offtake,N,N/A,Turbine,6,Ineos,N/A,A,N/A,55.920234,-3.742881
9,BP Saltend HP Industrial,Demand,"NTS Energy Offtaken, BPSaltendHP, Industrial Offtake",Industrial Offtake,N,N/A,Orifice Plate,2,National Grid Gas GTO,N/A,A,N/A,53.7339662,-0.2410642
10,Bridgewater Paper Industrial,Demand,"NTS Energy Offtaken, BrdgewaterP, Industrial Offtake",Industrial Offtake,N,N/A,Turbine,2,RWE,N/A,A,N/A,53.282801,-2.79345
11,Brigg Power Station,Demand,"NTS Energy Offtaken, Brigg, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,2,National Grid Gas GTO,N/A,A,N/A,53.5410676,-0.5060203
12,Burton Point Terminal/Power Station,Demand,"NTS Energy Offtaken, BurtonPoint, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,2,National Grid Gas GTO,N/A,A,N/A,53.238564,-3.054889
13,Carrington Power Station,Demand,"NTS Energy Offtaken, Carrington, NTS Power Station",NTS Power Station,N,N/A,Ultrasonic,2,ESB International,N/A,A,N/A,53.4365499,-2.4076961
14,Centrax Industrial,Demand,"NTS Energy Offtaken, Centrax, Industrial Offtake",Industrial Offtake,N,N/A,Turbine,2,National Grid Gas GTO,N/A,A,N/A,50.5264497,-3.579472
15,Corby Power Station,Demand,"NTS Energy Offtaken, Corby, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,2,National Grid Gas GTO,N/A,A,N/A,52.5108938,-0.6814217
16,Coryton Power Station,Demand,"NTS Energy Offtaken, Coryton, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,3,Coryton Energy Company,N/A,A,N/A,51.529382,0.392791
17,Cottam Power Station,Demand,"NTS Energy Offtaken, Cottam, NTS Power Station",NTS Power Station,N,N/A,Turbine,3,Uniper (E.ON),N/A,A,N/A,53.3085431,-0.7858038
18,Damhead Creek Power Station,Demand,"NTS Energy Offtaken, DamheadCreek, NTS Power Station",NTS Power Station,N,N/A,Turbine,4,Scottish Power,N/A,A,N/A,51.4253164,0.6012249
19,Deeside Power Station,Demand,"NTS Energy Offtaken, Deeside, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,2,National Grid Gas GTO,N/A,A,N/A,53.2327107,-3.0528861
20,Didcot B Power Station,Demand,"NTS Energy Offtaken, Didcot, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,2,National Grid Gas GTO,N/A,A,N/A,51.6232426,-1.2676357
21,Epping Green Power Station (Enfield),Demand,"NTS Energy Offtaken, EppingGreen, NTS Power Station",NTS Power Station,N,N/A,Turbine,2,Uniper (E.ON),N/A,A,N/A,51.6627778,-0.0227778
22,Goole Glass (Guardian Industries) Industrial,Demand,"NTS Energy Offtaken, GooleGlass, Industrial Offtake",Industrial Offtake,N,N/A,Turbine,2,Guardian Industries,N/A,A,N/A,53.6982245,-0.9098698
23,Gowkhall Power Station,Demand,"NTS Energy Offtaken, Gosberton, EM, LDZ Offtake",Sdemand,N,EM,Ultrasonic,2,National Grid Gas GTO,N/A,A,N/A,56.077636,-3.519346
24,Grain Power Station,Demand,"NTS Energy Offtaken, Grain, NTS Power Station",NTS Power Station,N,N/A,Turbine,2,Uniper (E.ON),N/A,A,N/A,51.4529756,0.7158219
25,Great Yarmouth Power Station,Demand,"NTS Energy Offtaken, GtYarmouth, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,2,National Grid Gas GTO,N/A,A,N/A,52.856384,1.458039
26,Hays Chemicals (Albion Inorganic Chemicals) industrial,Demand,"NTS Energy Offtaken, HaysChem, Industrial Offtake",Industrial Offtake,N,N/A,Orifice Plate,2,National Grid Gas GTO,N/A,A,N/A,53.1646527,-2.4061066
27,ICI Billingham,Demand,"NTS Energy Offtaken, ICIBillnghm, Industrial Offtake",Industrial Offtake,N,N/A,Orifice Plate,1,National Grid Gas GTO,N/A,A,N/A,54.5934886,-1.2820574
28,ICI Runcorn (Inovyn) Industrial,Demand,"NTS Energy Offtaken, ICIRuncorn, Industrial Offtake",Industrial Offtake,N,N/A,Orifice Plate,1,National Grid Gas GTO,N/A,A,N/A,53.3290201,-2.7583992
29,Immingham Industrial,Demand,"NTS Energy Offtaken, Immingham, Industrial Offtake",Industrial Offtake,N,N/A,Ultrasonic,2,Immingham CHP (Vitol),N/A,A,N/A,53.616799,-0.18778
30,Keadby Power Station,Demand,"NTS Energy Offtaken, Keadby, NTS Power Station",NTS Power Station,N,N/A,Turbine,1,National Grid Gas GTO,N/A,A,N/A,53.5946857,-0.7493019
31,Keadby B Power Station,Demand,"NTS Energy Offtaken, KeadbyB, NTS Power Station",NTS Power Station,N,N/A,Turbine,1,Keadby Generation,N/A,A,N/A,53.5946857,-0.7493019
32,Kings Lynn Power Station,Demand,"NTS Energy Offtaken, KingsLynn, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,1,National Grid Gas GTO,N/A,A,N/A,52.7280252,0.3792985
33,Langage Power Station,Demand,"NTS Energy Offtaken, Langage, NTS Power Station",NTS Power Station,N,N/A,Ultrasonic,2,Centrica,N/A,A,N/A,50.3883105,-4.0109088
34,Little Barford Power Station,Demand,"NTS Energy Offtaken, LtBarford, NTS Power Station",NTS Power Station,N,N/A,Orifice Plate,2,National Grid Gas GTO,N/A,A,N/A,52.2035244,-0.2690738
35,Marchwood Power Station,Demand,"NTS Energy Offtaken, Marchwood, NTS Power Station",NTS Power Station,N,N/A,Ultrasonic,2,Marchwood Power,N/A,A,Turbine,50.8995754,-1.4381038
36,Medway Power Station,Demand,"NTS Energy Offtaken, Medway, NTS Power Station",NTS Power Station,N,N/A,Ultrasonic,2,National Grid Gas GTO,N/A,A,N/A,51.439788,0.6909923
