"ApplicableFor","System Entry Energy, Aldbrough, D+2","System Entry Energy, Bacton-Perenco, D+1","System Entry Energy, Bacton-Shell, D+1","System Entry Energy, Bacton - BBL, D+2","System Entry Energy, Bacton Interconnector, D+2","System Entry Energy, BactonSeal, D+1","System Entry Energy, Barrow , D+2","System Entry Energy, Burton Point, D+2","System Entry Energy, Dragon, D+1","System Entry Energy, Easington-Langeled, D+1","System Entry Energy, Easington - Dimlington, D+2","System Entry Energy, GrainNTS1, D+1","System Entry Energy, GrainNTS2, D+1","System Entry Energy, HatfieldMoor, D+1","System Entry Energy, HillTop, D+2","System Entry Energy, Hole House Farm, D+2","System Entry Energy, Holford, D+2","System Entry Energy, Hornsea, D+2","System Entry Energy, Humbly Grove, D+2","System Entry Energy, Moffat Entry , D+2","System Entry Energy, Rough, D+2","System Entry Energy, South Hook, D+2","System Entry Energy, ST Fergus - Mobil, D+2","System Entry Energy, STFergus-NSMP, D+1","System Entry Energy, STFergus-Shell, D+1","System Entry Energy, Teesside-BP, D+1","System Entry Energy, Teesside-PX, D+1","System Entry Energy, Theddlethorpe, D+2","System Entry Energy, Stublach, D+2"
2013-03-05,0,53719361,165910170,347394551,701397638,48455556,71874305,44142222,0,677429583,112695313,679900,0,8009556,0,0,0,23347674,13681667,0,199385740,55024999,205545389,242574747,161713611,68776970,71911111,118191667,0
2013-03-06,0,53223000,152566520,271363104,634681722,59344444,72804575,36764444,0,788840839,101814236,344100,0,8258111,0,35193042,0,0,20313333,0,201894583,58991665,201422917,351133369,180542778,81974080,84337778,73647222,0
2013-03-07,0,51456472,147285178,267117282,747983389,59300000,73660310,0,0,795278190,107734375,303100,0,7577611,0,0,0,18,25957500,0,153246029,54858335,199813306,400458000,184426667,81619610,84284444,80511111,0
2013-03-08,0,49987917,142198440,285034171,727776444,59297222,73672683,0,0,784827655,109775391,294900,0,6768250,0,0,0,0,11667778,0,106214592,54991667,199923222,490040000,183983333,75445250,86008889,78561111,0
2013-03-09,0,0,132042101,251576223,625850443,59513889,66459083,0,0,789444444,107269965,0,0,6587796,0,0,0,765764,8796944,0,49134498,55005557,197875972,490040000,183983333,442710503,86111111,73163889,0
2013-03-10,68391266,51120278,126208907,224242517,653968667,63522222,73363160,0,0,763623714,107105035,0,0,6544806,0,0,32008608,50181585,0,0,257542944,64900000,195539111,404587942,186145000,65614640,74151389,64355556,0
2013-03-11,163044569,49592167,122302674,205918484,691945889,16030556,51469304,0,0,765329105,103337674,0,11210938,6628889,0,114886901,123644512,77622667,0,0,410506028,96388889,186615194,497162092,137783056,77840720,81528889,69405556,0
2013-03-12,143810797,47109361,137358127,193059588,657705387,33241667,70908505,15413333,0,774784633,105381944,0,25537583,6534194,0,99945795,214754288,100306428,10686111,0,395099306,65938890,194619417,438038322,139710000,74879610,89617778,70833333,0
2013-03-13,36358873,50540194,144691531,381899498,591873058,57422222,63099695,31057778,0,769921874,110425347,0,0,6591722,0,65444420,156501040,64063664,35858056,0,286646933,55024999,195607639,398658211,154188611,68588000,68337778,72816667,0
2013-03-14,1221126,51497861,158519694,332393533,597843804,64038889,5412418,31822222,0,643081342,108945313,0,0,6255611,0,41689151,80777816,70935,34017500,0,387202267,54952778,191653083,371768522,213058333,60882560,80568889,80930556,0
